collection_no,collection_name,lng,lat,mid_ma,formation,n_occurrences,n_genera,n_herbivore,n_predator
18293,North Pit,-99.800003,36.099998,7.050000000000001,Ogallala,1,1,0,1
18294,North Rim Locality,-100.800003,42.799999,10.95,Ash Hollow,8,7,7,1
18295,North Shore,-101.800003,41.200001,8.6,Ash Hollow,21,14,16,4
18296,Oak Canyon,-101.099998,40.200001,14.186499999999999,,1,0,1,0
18297,Oak Creek,-100.699997,43.200001,14.186499999999999,,6,2,6,0
18298,Ogallala Beach,-101.800003,41.200001,8.6,,10,7,8,2
18299,Olcott Hill (Laucomer Member),-103.800003,42.400002,10.95,Snake Creek,8,6,4,4
18300,Below Hesperopithecus Site,-103.800003,42.400002,10.95,Snake Creek,2,2,2,0
18301,Olcott Quarry,-103.800003,42.400002,10.95,Snake Creek,10,9,7,3
18302,Old Wilson Quarry,-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18303,Glenn Olson Quarry,-99.133331,43.533333,14.4,Fort Randall,9,6,7,0
18304,Optima,-101.400002,36.700001,7.050000000000001,Ogallala,31,25,20,11
18305,Oshkosh Quarry,-102.400002,41.400002,8.6,Ash Hollow,17,15,15,2
18306,Paleo Quarry,-102.5,42.700001,12.850000000000001,Valentine,7,7,4,3
18307,Parcell Ranch,-100.699997,35.799999,8.6,,9,8,9,0
18308,V.V. Parker Pits,-100.099998,36.099998,7.050000000000001,,8,2,5,3
18309,Patton Ranch,-103.800003,41.5,10.95,,1,1,0,1
18310,Pawnee Buttes (Upper Beds),-104.199997,40.799999,14.186499999999999,,13,8,12,1
18311,Pebble Creek Drainage,-103.099998,42.799999,14.186499999999999,,1,1,1,0
18312,Pegran Place,-100.800003,35.0,14.186499999999999,,1,1,1,0
18313,Penbrook Quarry,-100.800003,42.799999,14.186499999999999,,6,3,5,1
18314,Penny Creek (UNSM Wt-11),-98.5,40.099998,10.95,Valentine,14,8,13,1
18315,Penny Creek (UNSM Wt-12),-98.5,40.099998,10.95,Valentine,20,13,19,1
18316,Penny Creek (UNSM Wt-13),-98.5,40.099998,10.95,Valentine,9,6,8,1
18317,Penny Creek (UNSM Wt-15B),-98.5,40.099998,10.95,Valentine,6,2,6,0
18318,Pettit,-99.800003,43.200001,14.186499999999999,,5,1,5,0
18319,Pine Creek,-102.5,42.700001,14.186499999999999,,1,1,1,0
18320,Pipe Creek Sinkhole,-85.791946,40.454445,5.4,,20,14,15,4
18321,Platybelodon Quarry,-100.800003,42.799999,10.95,Ash Hollow,7,6,4,3
18322,Plioceros Site,-100.800003,42.799999,10.95,Ash Hollow,1,1,1,0
18323,Pliohippus Draw (The Pits),-103.800003,42.400002,7.050000000000001,Snake Creek,14,12,11,3
18324,Poison Ivy Quarry,-98.0,42.299999,10.95,Ash Hollow,27,24,22,2
18325,Porcupine Butte,-102.5,43.299999,10.95,Ash Hollow,2,1,2,0
18326,Potter Quarry,-103.0,41.099998,8.6,Ash Hollow,14,12,10,2
18327,Pratt Quarry,-100.050003,42.633331,10.95,Ash Hollow,39,35,31,3
18328,Precarious Quarry,-99.699997,42.799999,10.95,Ash Hollow,2,2,2,0
18329,Proantilocapra Locality,-100.800003,42.799999,10.95,Ash Hollow,1,1,1,0
18330,Prospect 28-18,-100.0,42.700001,10.95,Ash Hollow,1,1,1,0
18331,Quarry 379,-100.800003,42.799999,10.95,Valentine,2,1,2,0
18332,Quarry Without a Name,-99.699997,42.799999,14.4,Valentine,13,9,10,1
18333,Quarter Line Kat Quarry,-100.800003,42.799999,10.95,Ash Hollow,10,10,8,2
18334,Quinn Mastodon Quarry,-100.0,42.700001,10.95,Valentine,11,11,11,0
18335,Quinn Ranch Quarry,-100.0,42.700001,10.95,Ash Hollow,5,5,4,1
18336,Quinn Rhino Quarries,-100.0,42.700001,10.95,Ash Hollow,8,8,5,3
18337,Rattlesnake Gulch Quarry,-100.0,42.700001,14.4,Valentine,4,4,3,1
18338,Reamsville,-98.800003,39.799999,14.186499999999999,,8,5,7,1
18339,Reed and Longnecker Locality 3,-100.199997,35.900002,14.186499999999999,,1,1,1,0
18340,Rentfro Pit 1,-102.300003,35.700001,7.050000000000001,Ogallala,6,6,5,1
18341,Republican River,-100.5,40.200001,14.4,,2,2,0,2
18342,Rhino Hill Quarry,-101.699997,38.900002,7.050000000000001,Ogallala,17,14,13,4
18343,Rhino Skull Quarry,-103.800003,41.5,14.4,,4,4,4,0
18344,Rice Ranch,-101.800003,43.200001,10.95,,18,9,15,1
18345,Ripple Quarry,-100.800003,42.799999,14.4,Valentine,6,6,3,3
18346,Adam Risley Ranch,-100.800003,35.0,8.4815,,7,4,4,3
18347,Charley Risley Ranch,-100.816666,35.016666,10.95,Clarendon Beds,10,6,10,0
18348,River View School,-102.5,42.700001,10.95,Ash Hollow,1,1,0,1
18349,Rock Ledge Mastodon Quarry,-100.0,42.700001,10.95,Ash Hollow,1,1,1,0
18350,Rocky Ford Quarry,-100.800003,42.799999,14.186499999999999,,8,3,7,0
183502,Target Quarry,-103.758255,42.181992,17.4,Sheep Creek,1,0,1,0
18351,Rose,-101.800003,43.200001,10.95,,3,0,3,0
18352,Rosebud Agency Quarry,-100.699997,43.200001,8.6,Ash Hollow,8,8,6,2
18353,Rosetta Stone (Lower),-100.0,42.700001,14.4,,12,10,10,1
18354,Rosetta Stone (Upper),-100.0,42.700001,14.186499999999999,,3,2,3,0
18355,Rowe Ranch,-100.800003,35.0,10.95,,19,14,12,7
18356,Runlofson Quarry,-100.0,42.700001,14.186499999999999,,2,2,1,0
18357,Sand Lizard Quarry,-98.0,42.599998,14.4,Valentine,2,2,0,2
18358,Sanford Pit,-101.400002,35.400002,8.6,Ogallala,4,4,2,2
18359,Santee,-97.846298,42.806801,7.050000000000001,,55,49,34,15
18360,Sappa Creek,-100.800003,39.700001,14.4,,6,5,6,0
18361,Sawyer Quarry,-100.800003,42.799999,14.4,Valentine,5,5,4,1
18362,Schlagel Creek,-100.800003,42.799999,10.95,Valentine,2,2,2,0
18363,Schoettger Quarry,-99.699997,42.799999,14.4,Valentine,3,3,1,2
18364,Schwab Place,-99.800003,36.099998,7.050000000000001,Ogallala,1,1,0,1
18365,Sebastian Ranch,-100.5,39.799999,7.050000000000001,,2,2,0,2
18366,Serendipity Quarry,-99.699997,42.799999,10.95,Ash Hollow,9,4,8,1
18367,Sevon no. 1,-100.699997,43.200001,14.186499999999999,,2,0,2,0
18368,Sevon no. 14,-100.699997,43.200001,14.186499999999999,,3,0,2,1
18369,Sevon no. 17,-100.699997,43.200001,14.186499999999999,,1,1,1,0
18370,Sevon no. 25,-100.699997,43.200001,14.186499999999999,,3,2,3,0
18371,Shannon Ranch,-100.800003,35.0,14.186499999999999,,3,2,2,1
18372,Sherman Ranch Locality,-100.800003,42.799999,10.95,Valentine,10,5,8,2
18373,Silica Mine,-99.699997,39.599998,14.4,,2,2,1,1
18374,Sinclair Draw (Laucomer Member),-103.800003,42.400002,10.95,Snake Creek,1,1,0,1
18375,Skillet Creek,-100.800003,35.0,14.186499999999999,,2,2,1,1
18376,Small Falls Prospect,-99.699997,42.799999,14.4,Valentine,6,4,5,0
18377,Smart Ranch,-101.900002,33.700001,7.050000000000001,Bridwell,7,4,7,0
18378,Snake River (Near Clifford Creek),-100.800003,42.799999,10.95,Ash Hollow,4,4,1,3
18379,Soldier Creek no. 1,-100.699997,43.200001,14.186499999999999,,6,2,6,0
18380,Soldier Creek no. 2,-100.699997,43.200001,14.186499999999999,,2,1,2,0
18381,Soldier Creek no. 3,-100.699997,43.200001,14.186499999999999,,1,0,1,0
18382,Soldier Creek no. 4,-100.699997,43.200001,14.186499999999999,,1,0,1,0
18383,Soldier Creek no. 5,-100.699997,43.200001,14.186499999999999,,4,2,4,0
18384,Soldier Creek no. 6,-100.699997,43.200001,14.186499999999999,,5,2,4,1
18385,Soldier Creek no. 7,-100.699997,43.200001,14.186499999999999,,3,0,2,1
18386,Soldier Creek no. 8,-100.699997,43.200001,14.186499999999999,,1,1,1,0
18387,Soldier Creek no. 9,-100.699997,43.200001,14.186499999999999,,1,1,1,0
18388,Soldier Creek no. 10,-100.699997,43.200001,14.186499999999999,,4,2,4,0
18389,Soldier Creek no. 11,-100.699997,43.200001,14.186499999999999,,3,2,3,0
18390,Soldier Creek no. 12,-100.699997,43.200001,14.186499999999999,,5,2,4,1
18391,Soldier Creek no. 13,-100.699997,43.200001,14.186499999999999,,4,1,4,0
18392,Soldier Creek no. 14,-100.699997,43.200001,14.186499999999999,,4,2,4,0
18393,Soldier Creek no. 15,-100.699997,43.200001,14.186499999999999,,1,1,1,0
18394,Soldier Creek no. 16,-100.699997,43.200001,14.186499999999999,,1,0,1,0
18395,Soldier Creek no. 17,-100.699997,43.200001,14.186499999999999,,3,2,3,0
18396,South Big Beaver,-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18397,South Bijou Hill,-98.300003,43.099998,14.4,Fort Randall,26,20,20,1
18398,Southeast of Olcott Hill,-103.800003,42.400002,10.95,Snake Creek,1,1,0,1
18399,Southeast of Springview,-99.699997,42.799999,14.4,Valentine,1,1,0,1
18400,South of Fairfield Creek,-100.0,42.700001,14.186499999999999,,1,1,1,0
18401,South of Gordon,-102.5,42.700001,10.95,Ash Hollow,1,1,1,0
18402,South of Norden,-100.0,42.700001,14.4,Valentine,1,1,0,1
18403,South of Young Brothers Ranch,-99.900002,37.200001,7.050000000000001,,1,1,0,1
18404,Southwest of UNSM Gd-14,-102.400002,41.400002,8.6,Ash Hollow,1,1,1,0
18405,Spatz Quarry,-98.0,42.599998,14.4,,1,1,0,1
18406,Spirit Mound,-100.699997,43.200001,10.95,,13,6,12,1
18407,Spoon Butte Beds,-104.199997,42.0,14.4,,16,3,14,2
18408,Spring Canyon (Burge),-100.800003,42.799999,10.95,Valentine,2,2,1,1
18409,Spring Canyon (Cap Rock),-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18410,Steer Creek (Merritt Dam),-100.800003,42.799999,10.95,Ash Hollow,2,2,2,0
18411,Steer Creek (Devil's Gulch),-100.800003,42.799999,14.4,Valentine,1,1,0,1
18412,Stewart Quarry,-100.800003,42.799999,14.4,Valentine,17,14,15,2
18413,Sunrise Locality,-100.800003,42.799999,10.95,Valentine,2,2,2,0
18414,Swallow Quarry,-100.800003,42.799999,10.95,Valentine,3,3,2,1
18415,Jack Swayze Quarry,-99.900002,37.200001,7.050000000000001,Ogallala,18,14,12,6
18416,Tetrabelodon osborni Quarry,-98.800003,42.900002,14.4,Valentine,6,2,6,0
18417,Tetrabelodon willistoni Quarry,-100.0,42.700001,14.4,Valentine,1,1,1,0
18418,Tetrabelodon Skull Quarry,-100.800003,42.799999,10.95,Valentine,1,0,1,0
18419,Thayer Ranch,-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18420,The Loop,-100.800003,42.799999,8.6,Ash Hollow,1,1,1,0
18421,Three Miles East of Rosebud,-100.699997,43.200001,8.6,Ash Hollow,2,2,1,1
18422,Tihen Locality,-99.699997,42.799999,12.850000000000001,Valentine,1,1,0,1
18423,Torynobelodon loomisi Quarry,-99.400002,40.200001,7.050000000000001,,1,1,1,0
18424,Trail Creek Quarry,-105.099998,41.299999,8.6,Ash Hollow,14,10,11,2
18425,Trailside Kat Quarry,-100.800003,42.799999,10.95,Ash Hollow,8,8,7,1
18426,Trilophodon giganteus Site,-99.800003,43.200001,10.95,Ash Hollow,1,1,1,0
18427,Troxell's Rhino,-99.699997,42.799999,10.95,Valentine,1,1,1,0
18428,Turtle Butte (Burge),-99.800003,43.200001,10.95,Valentine,9,8,8,1
18429,Turtle Butte (Cap Rock),-99.800003,43.200001,10.95,Ash Hollow,1,1,1,0
18430,Turtle Canyon,-102.5,42.700001,10.95,Ash Hollow,3,3,2,1
18431,Turtle-Carnivore Quarry,-100.5,40.5,7.050000000000001,,2,2,0,2
18432,Turtle Locality,-103.0,41.099998,7.050000000000001,,1,1,0,1
18433,UCMP V-3332,-100.800003,42.799999,8.6,Ash Hollow,2,1,2,0
18434,UCMP V-36119,-100.800003,42.799999,10.95,Valentine,1,1,1,0
18435,UCMP V-77035,-100.800003,42.799999,14.4,Valentine,1,1,1,0
18436,UNSM Cr-121,-100.800003,42.799999,14.186499999999999,,6,3,5,0
18437,UNSM Ft-47,-100.5,40.5,8.6,Ash Hollow,1,1,0,1
18438,UNSM Gd-104,-102.400002,41.400002,8.6,Ash Hollow,1,1,1,0
18439,UNSM Sm-101,-98.800003,41.200001,7.050000000000001,Ash Hollow,3,2,1,2
18440,Upper County Road,-100.800003,42.799999,10.95,Ash Hollow,2,2,2,0
18441,Uptegrove,-103.0,41.099998,7.050000000000001,,10,9,8,2
18442,Valentine Railway Quarries,-100.800003,42.799999,14.4,Valentine,71,59,48,14
18443,Verdigre Quarry,-98.0,42.599998,14.4,Valentine,39,28,24,11
18444,Vicinity of Hall Cope's Ranch,-99.699997,39.599998,7.050000000000001,,1,1,0,1
18445,Vim-Peetz,-103.099998,40.799999,12.850000000000001,Pawnee Creek Beds,13,7,10,2
18446,Volcanic Ash Pit,-100.800003,42.799999,10.95,Ash Hollow,2,2,0,2
18447,Wade Quarry,-100.800003,42.799999,10.95,Ash Hollow,12,11,8,4
18448,WaKeeney (Amebelodon Locality),-99.900002,39.0,8.4815,,1,1,1,0
18449,WaKeeny (KU Locality 29),-99.769798,39.0821,10.95,Ogallala,9,7,9,0
18450,WaKeeny (UM-K6-59),-99.751297,39.0821,10.95,Ogallala,26,14,16,3
18451,WaKeeney (Unit C),-99.751297,39.0821,8.4815,Ogallala,1,1,0,1
18452,Waldo Simons Quarry,-100.800003,42.799999,10.95,Valentine,4,4,4,0
18453,Warren Crossing,-100.800003,42.799999,8.6,Ash Hollow,1,0,1,0
18454,Welke,-100.0,42.700001,14.4,,21,14,18,1
18455,Wessington Springs,-98.583336,44.083332,14.4,,5,1,5,0
18456,West Coon Creek,-100.800003,42.799999,10.95,Ash Hollow,5,3,4,0
18457,West Fork of Indian Creek,-99.699997,42.799999,10.95,Ash Hollow,1,1,0,1
18458,West Line Kat Quarry,-100.800003,42.799999,10.95,Ash Hollow,13,13,9,4
18459,West of Boiling Spring Flat,-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18460,West of Burton,-99.699997,42.799999,10.95,Ash Hollow,2,2,1,1
18461,West of Miller Creek,-98.0,42.599998,14.4,,1,1,0,1
18462,West of Phillipsburg,-99.400002,39.799999,8.4815,,2,2,2,0
18463,Whisenhunt Quarry,-100.5,36.799999,10.95,Laverne,29,22,18,3
18464,White Cliffs,-100.0,42.700001,14.4,Valentine,2,2,1,1
18465,Whiteface Quarry,-100.800003,42.799999,10.95,Valentine,2,2,2,0
18466,White Point Quarry,-100.0,42.700001,10.95,Valentine,6,6,4,2
18467,Whitford's Quarry No. 2,-100.0,42.700001,10.95,Ash Hollow,3,3,1,2
18468,Jonas Wilson Quarry,-100.0,42.700001,10.95,Ash Hollow,9,6,5,4
18469,Wolf Creek (Nebraska),-102.5,42.700001,14.186499999999999,,1,1,1,0
18470,Wolf Creek (SDSM V-521),-102.5,43.299999,10.95,,9,7,9,0
18471,Wolf Creek (SDSM V-522),-102.5,43.299999,10.95,,1,0,1,0
18472,Wolf Creek (SDSM V-523),-102.5,43.299999,10.95,,2,2,2,0
18473,Wolf Creek (SDSM V-524),-102.5,43.299999,10.95,,2,2,1,1
18474,Wolf Creek (SDSM V-525),-102.5,43.299999,10.95,,5,1,5,0
18475,Wolf Creek (SDSM V-526),-102.5,43.299999,10.95,,3,2,3,0
18476,Wolf Creek (SDSM V-527),-102.5,43.299999,10.95,,4,3,4,0
18477,Wolf Creek (SDSM V-528),-102.5,43.299999,10.95,,1,1,1,0
18478,Wolf Creek (SDSM V-529),-102.5,43.299999,10.95,,7,6,7,0
18479,Wolf Creek (SDSM V-5322),-102.5,43.299999,10.95,,1,0,0,1
18480,Wolf Creek (SDSM V-5323),-102.5,43.299999,10.95,,1,1,1,0
18481,Wolf Creek (SDSM V-5324),-102.5,43.299999,10.95,,10,7,8,2
18482,Wolf Creek (SDSM V-5325),-102.5,43.299999,10.95,,7,2,6,1
18483,Wolf Creek (SDSM V-5326),-102.390732,42.999275,10.95,,5,3,4,1
18484,Wolf Creek (SDSM V-5327),-102.5,43.299999,10.95,,3,1,3,0
18485,Wolf Creek (SDSM V-5328),-102.5,43.299999,10.95,,8,5,7,1
18486,Wolf Creek (SDSM V-5329),-102.5,43.299999,10.95,,4,3,4,0
18487,Wolf Creek (SDSM V-5330),-102.5,43.299999,10.95,,4,2,4,0
18488,Wolf Creek (SDSM V-5331),-102.5,43.299999,10.95,,1,1,0,1
18489,Wolf Creek (SDSM V-5332),-102.5,43.299999,10.95,,2,0,2,0
18490,Wolf Creek (SDSM V-5333),-102.5,43.299999,10.95,,6,4,6,0
18491,Wolf Creek (SDSM V-5334),-102.5,43.299999,10.95,,4,2,3,0
18492,Wolf Creek (SDSM V-5335),-102.5,43.299999,10.95,,6,4,6,0
18493,Wolf Creek (SDSM V-5336),-102.5,43.299999,10.95,,2,1,2,0
18494,Wounded Knee Creek,-100.800003,42.799999,10.95,,1,1,0,1
18495,Wray,-102.199997,40.099998,7.050000000000001,,17,14,13,4
18496,Xmas Quarry,-100.800003,42.799999,10.95,Ash Hollow,26,23,20,6
18497,Young Brothers Ranch,-99.900002,37.200001,7.050000000000001,,3,3,1,2
18498,Zippy Lizard Quarry,-99.699997,42.799999,14.4,Valentine,6,4,5,0
18499,ZX Bar,-103.800003,42.400002,7.050000000000001,Snake Creek,14,13,10,3
18501,Agricola Road,-81.800003,27.9,7.615,Peace River,7,6,6,1
18502,Agrico Pierce Mine,-81.800003,27.9,7.050000000000001,,6,4,4,1
18503,Alum Bluff,-84.900002,30.200001,14.186499999999999,"""Fort Preston sand""",4,2,4,0
18504,AMAX Phosphate Mine,-81.849998,27.700001,7.050000000000001,Peace River,1,1,0,1
18507,Ashville,-83.699997,30.700001,14.186499999999999,,4,2,4,0
18508,Bird Branch,-81.800003,27.9,14.186499999999999,Arcadia,3,2,3,0
18509,Bradley,-81.800003,27.9,9.438,Peace River,15,11,11,2
18510,Bradon River,-82.5,27.5,14.186499999999999,,3,3,3,0
18511,Brewster Haynsworth Mine,-81.800003,27.9,7.615,Peace River,3,3,2,1
18513,Cargill Phosphate Mine,-81.800003,27.9,7.050000000000001,Peace River,2,1,0,2
18514,CF Industries Mine,-81.800003,27.9,7.050000000000001,Peace River,2,2,1,1
18515,Chattahoochee,-84.5,30.5,14.186499999999999,,1,1,1,0
18517,Chesapeake Bay (Middle Calvert),-76.5,38.400002,14.186499999999999,Calvert,1,1,1,0
18519,Chesapeake Bay (Choptank),-76.5,38.400002,14.4,Choptank,3,3,2,1
18520,Chicora Mine (Hemphillian),-81.800003,27.9,7.050000000000001,,5,5,5,0
18521,Coffrin Creek,-82.099998,29.799999,14.186499999999999,,6,4,6,0
18522,Colclough Hill,-82.099998,29.799999,14.186499999999999,,1,1,1,0
18525,Cummer Lumber Company Phosphate Mine,-82.599998,29.700001,7.050000000000001,,1,1,1,0
18526,Cummer Mine No. 8,-82.599998,29.700001,14.186499999999999,,1,1,1,0
18527,District Grade Mine,-81.849998,27.700001,7.050000000000001,,3,3,1,2
18528,Dunnellon Phosphate Company No. 5,-82.199997,28.799999,14.186499999999999,,3,0,3,0
18529,Dunnellon Phosphate Mining District,-82.300003,29.1,7.050000000000001,,9,7,9,0
18530,Dutton Phosphate Company No. 22,-82.300003,29.1,14.186499999999999,,1,1,1,0
18531,Emathla,-82.300003,29.1,14.186499999999999,,1,1,1,0
18533,"Four Corners Mine, Miocene",-81.800003,27.9,7.050000000000001,,6,4,5,1
18534,Gainesville Creek,-82.099998,29.799999,14.186499999999999,,2,1,2,0
18539,Haile V/XIXA,-82.566666,29.683332,7.050000000000001,,19,13,17,2
18540,Haile 5B,-82.099998,29.799999,14.186499999999999,Alachua,4,4,4,0
18541,Haile 6A,-82.099998,29.799999,8.6,,5,4,4,1
18542,Haysand Road,-82.099998,29.799999,14.186499999999999,,1,1,1,0
18543,Hickory Hill,-82.099998,29.799999,14.186499999999999,,2,0,2,0
18544,"Hog Creek (""Pliocene"")",-82.199997,27.0,14.186499999999999,,3,2,3,0
18545,Hogtown Creek II,-82.099998,29.799999,7.050000000000001,,1,1,0,1
18546,Hollowell's Place,-82.099998,29.799999,14.186499999999999,,1,0,1,0
18547,Joshua Creek,-81.900002,27.200001,8.6,,1,1,1,0
18548,Kingsford Mine (Younger),-81.800003,27.9,7.615,Bone Valley,7,7,6,0
18551,Leisey Shell Pit (Arcadia Formation),-82.5,27.700001,14.186499999999999,,1,1,1,0
18552,Leisey Shell Pit 1C,-82.5,27.700001,7.050000000000001,Bone Valley,4,4,4,0
18553,Lockwood Meadows,-82.199997,27.0,7.050000000000001,Peace River,10,6,9,1
18555,North of Lulu,-82.599998,30.0,10.95,,1,1,1,0
18557,Martin-Anthony Roadcut,-82.166664,29.283333,20.8,Penney Farms,3,2,2,1
18560,McGehee Farm,-82.599998,29.65,7.050000000000001,Alachua,31,21,22,6
18561,Midway,-84.5,30.5,17.4,Torreya,14,10,10,3
18562,Miller Locality,-83.199997,29.299999,17.4,,12,11,0,12
18563,Mixson's Bone Bed,-82.599998,29.4,7.050000000000001,Alachua,18,15,16,2
18564,Moss Acres Racetrack,-82.300003,29.1,7.050000000000001,Alachua,20,15,18,2
18566,Needmore,-82.900002,30.9,14.186499999999999,Statenville,1,1,1,0
18568,Nichols Mine Stream Matrix Horizon,-81.800003,27.9,7.615,Peace River,8,6,8,0
18570,Oldsmar Pit 1 (Arcadia Formation),-82.800003,27.799999,14.186499999999999,Arcadia,2,2,2,0
18571,Oldsmar Pit 1 (Hemphillian),-82.800003,27.799999,14.186499999999999,Arcadia,2,2,2,0
18572,Oldsmar Pit 2 (Arcadia Formation),-82.800003,27.799999,14.186499999999999,Arcadia,1,1,1,0
18574,Pareners Branch,-82.099998,29.799999,14.186499999999999,,6,5,6,0
18575,Pasco County Arikareean Site,-82.400002,28.299999,14.186499999999999,,1,1,1,0
18578,Peace River,-81.900002,27.5,7.050000000000001,,4,3,4,0
18581,Port Manatee,-82.5,27.5,7.050000000000001,Bone Valley,12,8,10,1
18582,Quincy,-84.5,30.5,13.805,Torreya,1,1,1,0
18583,Red Zone Phosphoria Mine,-81.800003,27.9,14.4,Peace River,5,4,5,0
18584,Rick's Pump Site,-81.800003,27.9,7.050000000000001,,4,4,4,0
18585,Roaring Creek,-83.0,30.4,14.4,Statenville,3,2,3,0
18588,Silver City Mine,-81.800003,27.9,10.95,Peace River,5,5,3,1
18589,Smith Mine,-84.5,30.5,14.4,Torreya,1,1,1,0
18590,St. Mark's River,-84.199997,30.299999,14.186499999999999,,1,1,1,0
18592,Statenville,-82.900002,30.9,14.186499999999999,Statenville,7,5,6,1
18593,St. Marys Formation,-76.5,38.400002,14.186499999999999,,1,1,1,0
18594,Sweetwater Branch,-81.800003,27.9,14.186499999999999,,3,2,3,0
18595,Swift Mine,-81.800003,27.9,7.050000000000001,Peace River,7,7,5,1
18596,Tallahassee Water Works,-84.5,30.5,13.805,Torreya,2,1,2,0
18597,Thomas Farm,-82.599998,29.700001,17.4,Alachua,43,34,23,13
18598,T.A. Thompson Mine,-82.099998,29.799999,14.186499999999999,,2,0,2,0
18599,Tiger Bay Mine,-81.800003,27.9,7.050000000000001,Peace River,8,8,8,0
18600,VA Hospital Site,-82.099998,29.799999,14.186499999999999,,1,1,1,0
18601,Withlacoochee River Site 4A,-82.316666,28.799999,7.050000000000001,,29,23,23,6
18602,Withlacoochee River Site 4X,-82.199997,28.799999,7.050000000000001,,5,4,4,1
18603,Withlacoochee River Site 5E,-82.300003,29.1,7.050000000000001,,2,2,2,0
18604,Akin Hill,-95.199997,30.6,14.4,Fleming,5,1,5,0
18605,Anderson,-95.699997,30.299999,14.186499999999999,,1,1,1,0
18606,S. F. Austin State Park,-95.900002,29.799999,14.186499999999999,,2,2,2,0
18607,Belt's Creek,-94.300003,30.799999,14.4,,5,4,5,0
18608,"Bennett Farm, San Jacinto County site 4",-95.281998,30.716999,14.4,Fleming,8,8,8,0
18609,Bordon,-96.699997,29.700001,14.4,Fleming,1,0,1,0
18610,"Bridge Ranch, Normanna",-97.699997,28.6,10.95,Goliad,30,24,25,4
18611,"Buckner Ranch Locality, Site 1",-97.699997,28.6,10.95,Goliad,25,16,23,2
18612,Buckner Ranch Site 2,-97.699997,28.6,14.186499999999999,,4,4,3,0
18614,Burkeville (TAM 43),-93.400002,31.0,14.186499999999999,,4,1,4,0
18615,Caper Place,-95.0,30.5,14.186499999999999,,1,1,1,0
18616,Cedar Creek (Texas),-96.0,30.0,14.186499999999999,,1,0,1,0
18617,Cedar Run,-96.099998,30.1,17.4,Oakville,13,10,11,2
18618,Four miles southeast of ChapellHill,-96.099998,30.1,14.4,,5,3,5,0
18619,"Cold Spring, San Jacinto site 3",-95.131897,30.6117,14.4,Fleming,22,12,20,1
18620,Diamond Mountain,-95.400002,30.1,14.4,,9,4,8,1
18621,Discovery Site (Fort Polk),-93.099998,31.1,14.4,Fleming,16,13,14,1
18622,Dripping Springs,-96.699997,29.700001,14.4,Fleming,1,1,1,0
18623,"Farish Ranch, Medio Creek",-97.699997,28.6,10.95,Goliad,31,22,25,6
18624,"UCMP loc V-304, J. Fiestam's Farm",-96.900002,29.799999,14.186499999999999,,1,1,1,0
18625,"Foster Estate, San Jacinto County Site 6",-95.233101,30.684299,14.186499999999999,,4,2,4,0
18626,Garvin Gully,-95.699997,30.299999,17.4,Oakville,22,13,20,2
18627,"Gay Hill, San Jacinto County site 1",-95.269798,30.749701,14.4,Fleming,11,9,9,2
18628,Goodrich Site 1,-94.913002,30.593399,14.4,Fleming,8,6,7,1
18629,Goodrich Site 2,-94.699997,30.700001,14.4,Fleming,12,6,9,3
18630,"Goodrich Site 3, Lowe place",-94.914803,30.6031,14.4,,9,5,8,1
18631,Goodrich (F:AM),-94.699997,30.700001,14.4,Fleming,1,1,0,1
18632,Gully Site,-93.099998,31.1,14.4,Fleming,6,4,5,0
18633,Hallettsville,-97.0,29.4,14.186499999999999,,1,1,1,0
18634,E. R. Harvey No. 1,-95.0,30.5,14.186499999999999,,1,1,1,0
18635,Hidalgo Bluff,-96.099998,30.1,17.4,Oakville,12,11,11,1
18636,Highway 36,-96.099998,30.1,15.5,,1,1,1,0
18637,Sam Houston,-95.0,30.5,14.4,Fleming,14,8,12,2
18638,Independence,-96.099998,30.1,14.186499999999999,Oakville,3,2,3,0
18639,Ernest Kurgeis Land,-96.900002,29.799999,14.4,Fleming,1,0,1,0
18640,"Lapara Creek Site 8, Ten Mile Creek",-97.958397,28.343399,10.95,Goliad,21,16,18,3
18641,Love Place,-95.0,30.5,14.4,,1,1,1,0
18642,Mann Place,-95.252777,30.74361,17.4,Fleming,4,3,3,1
18643,McKenney Place,-95.0,30.5,14.4,,1,1,1,0
18644,McMurry Pits 1/2,-95.0,30.5,14.186499999999999,,5,5,5,0
18645,"Medio Creek Site No. 19, Richards farm",-97.7407,28.530701,10.95,Goliad,26,21,24,2
18646,Moscow,-94.699997,30.700001,14.4,Fleming,17,13,15,2
18647,Mound Creek,-95.400002,30.1,14.186499999999999,,3,2,3,0
18648,Navasota,-95.699997,30.299999,14.186499999999999,,2,2,2,0
18649,Niscavit Farm,-95.699997,30.299999,14.4,Fleming,1,1,0,1
18650,Noble Farm,-95.699997,30.299999,14.4,Fleming,14,8,13,1
18651,Old Walker Place,-95.0,30.5,17.4,,1,1,1,0
18652,Persimmon Barrow,-93.099998,31.1,14.4,Fleming,2,1,2,0
18653,Plantersville,-95.699997,30.299999,14.4,,1,1,1,0
18654,Push Creek,-94.300003,30.799999,14.4,,3,2,3,0
